sessionID,iterations,time,cpu,cpuID,value,point,findType,functionType,particlesNum
ac7c11be4fa93d91dc66,10000,37884,3,0,-0.06426749195953606,"(0.7465588957073943,0.5567577439232989)",ITERATION_LIMIT,Rosenbrock,100
ac7c11be4fa93d91dc66,10000,37896,3,2,-28.539443019762555,"(-4.341948197440299,18.858020941085968)",ITERATION_LIMIT,Rosenbrock,100
00302fb04d42b75c2817,18,105,3,0,-0.00006746108821969763,"(0.9940549196576552,0.9887119028730044)",FIND_OPTIMUM,Rosenbrock,100
00302fb04d42b75c2817,24,123,3,2,-0.00003294998600486424,"(0.9942598255172918,0.9885506438215642)",FIND_OPTIMUM,Rosenbrock,100
00302fb04d42b75c2817,10000,37995,3,1,-1.3080743029312445,"(-0.14043437605984735,0.028372673377222976)",ITERATION_LIMIT,Rosenbrock,100
f86aee7574437d609053,28,138,3,2,-0.00006144419130368732,"(0.9981114384059906,0.9969872162840218)",FIND_OPTIMUM,Rosenbrock,100
f86aee7574437d609053,136,549,3,1,-0.0000984154396519791,"(0.9900979302397264,0.9802335414298191)",FIND_OPTIMUM,Rosenbrock,100
f86aee7574437d609053,10000,38515,3,0,-6.46973584171501,"(3.543517283177766,12.55811371051018)",ITERATION_LIMIT,Rosenbrock,100
c0de4417791009442f1a,33,172,3,1,-0.000078805559016011,"(0.9931725217097378,0.9858242858742247)",FIND_OPTIMUM,Rosenbrock,100
c0de4417791009442f1a,25,135,3,2,-0.00006206136700346382,"(1.003765108569045,1.0082363854093894)",FIND_OPTIMUM,Rosenbrock,100
c0de4417791009442f1a,10000,38238,3,0,-0.0003760164930763898,"(0.9806237944268198,0.9615469242471792)",ITERATION_LIMIT,Rosenbrock,100
af6bbeec38e9b1c83a57,26,171,3,0,-0.000044562025083934913,"(1.0057363100148784,1.0111641051233438)",FIND_OPTIMUM,Rosenbrock,100
af6bbeec38e9b1c83a57,20,105,3,1,-0.00004926152294775738,"(0.9967840491376283,0.9942022930256249)",FIND_OPTIMUM,Rosenbrock,100
af6bbeec38e9b1c83a57,137,581,3,2,-0.0000847174701520721,"(1.0077371157805528,1.0150355515491323)",FIND_OPTIMUM,Rosenbrock,100
193348e22310225c6242,24,108,3,2,-0.00008045177637668994,"(0.9996774350957291,1.00025134318292)",FIND_OPTIMUM,Rosenbrock,100
193348e22310225c6242,10000,38008,3,0,-3.793199558127034,"(2.9475614203546976,8.68954686473289)",ITERATION_LIMIT,Rosenbrock,100
193348e22310225c6242,10000,38004,3,1,-0.0003203150659980426,"(1.017887619325681,1.0361542090389066)",ITERATION_LIMIT,Rosenbrock,100
b3fdaf7da65c9de3fbac,10000,38278,3,0,-14.758465089863584,"(4.841630540994181,23.44322986909432)",ITERATION_LIMIT,Rosenbrock,100
b3fdaf7da65c9de3fbac,10000,38254,3,1,-0.2180313076463802,"(1.4669008162236326,2.1523890668685124)",ITERATION_LIMIT,Rosenbrock,100
b3fdaf7da65c9de3fbac,10000,38286,3,2,-0.00011749632327469648,"(0.9891645800194759,0.9784165668450506)",ITERATION_LIMIT,Rosenbrock,100
c790061751d38117ffea,32,264,4,0,-0.00001840548962385532,"(0.9972585548300512,0.9948546246969343)",FIND_OPTIMUM,Rosenbrock,100
